file_path,language,nosi,dit,cbo,rfc,loc,comparisonsQty,returnQty,wmc,lcom,totalMethods,loopQty,assignmentsQty,maxNestedBlocks,file_change_count,file_bug_fix_count,recent_file_change_count,days_since_last_change,last_change_lines_added,last_change_lines_deleted,last_change_churn,last_change_file_count,author_file_change_count,repo_name,repo_url,commit_sha,source_commit_used,commit_message,defect
src/rpc/net.cpp,C++,2,1,38,280,1156,254,48,109,30,30,15,86,11,199,26,13,11,60,0,60,4,14,bitcoin,https://github.com/bitcoin/bitcoin,fa864b937e1b36f5a8fe989467360988a03637ec,fa864b937e1b36f5a8fe989467360988a03637ec,refactor: [rpc] Remove confusing and brittle integral casts (take 3),0
src/node/miner.h,C++,0,1,12,13,139,74,9,12,8,11,0,8,4,29,2,0,636,17,13,30,3,1,bitcoin,https://github.com/bitcoin/bitcoin,2c5242d24f47fd6aa828dbacaf2b678030db4488,2d3edd9640f32657e292974967f5d18ee4263230,"multi_index: fix compilation failure with boost >= 1.91  This effectively reverts a3cb309e7c31853f272bffaa65fb6ab0a7cc4083 from PR #30194.  That PR reduced the multi_index type signatures as recommended upstream, but this is no longer supported as of boost 1.91 because it is no longer necessary. 1.91 drops support for the pre-c++11 work-arounds that bloated the type signatures to begin with.  The upstream `BOOST_MULTI_INDEX_ENABLE_MPL_SUPPORT` define is meant to provide compatibility with removed features, but it does not work for this case. Using `indexed_by` directly when defining the `multi_index` (as opposed to inheriting from it) works with all versions, and avoids the use of the back-compat define.  This is a slight regression when building against boost < 1.91 because the bloated type signatures are reintroduced in that case, but it's not significant enough to go to the trouble of introducing version detection and ifdefs.  Github-Pull: #35175 Rebased-From: 0bc9d354dfd8074d1c36a891a69b6585a8775c65",1
src/txmempool.h,C++,2,2,31,52,362,208,32,40,20,32,1,32,3,199,27,0,636,5,3,8,3,1,bitcoin,https://github.com/bitcoin/bitcoin,2c5242d24f47fd6aa828dbacaf2b678030db4488,2d3edd9640f32657e292974967f5d18ee4263230,"multi_index: fix compilation failure with boost >= 1.91  This effectively reverts a3cb309e7c31853f272bffaa65fb6ab0a7cc4083 from PR #30194.  That PR reduced the multi_index type signatures as recommended upstream, but this is no longer supported as of boost 1.91 because it is no longer necessary. 1.91 drops support for the pre-c++11 work-arounds that bloated the type signatures to begin with.  The upstream `BOOST_MULTI_INDEX_ENABLE_MPL_SUPPORT` define is meant to provide compatibility with removed features, but it does not work for this case. Using `indexed_by` directly when defining the `multi_index` (as opposed to inheriting from it) works with all versions, and avoids the use of the back-compat define.  This is a slight regression when building against boost < 1.91 because the bloated type signatures are reintroduced in that case, but it's not significant enough to go to the trouble of introducing version detection and ifdefs.  Github-Pull: #35175 Rebased-From: 0bc9d354dfd8074d1c36a891a69b6585a8775c65",1
src/txrequest.cpp,C++,16,1,16,191,460,386,44,98,46,51,11,70,6,17,1,0,636,8,5,13,3,1,bitcoin,https://github.com/bitcoin/bitcoin,2c5242d24f47fd6aa828dbacaf2b678030db4488,2d3edd9640f32657e292974967f5d18ee4263230,"multi_index: fix compilation failure with boost >= 1.91  This effectively reverts a3cb309e7c31853f272bffaa65fb6ab0a7cc4083 from PR #30194.  That PR reduced the multi_index type signatures as recommended upstream, but this is no longer supported as of boost 1.91 because it is no longer necessary. 1.91 drops support for the pre-c++11 work-arounds that bloated the type signatures to begin with.  The upstream `BOOST_MULTI_INDEX_ENABLE_MPL_SUPPORT` define is meant to provide compatibility with removed features, but it does not work for this case. Using `indexed_by` directly when defining the `multi_index` (as opposed to inheriting from it) works with all versions, and avoids the use of the back-compat define.  This is a slight regression when building against boost < 1.91 because the bloated type signatures are reintroduced in that case, but it's not significant enough to go to the trouble of introducing version detection and ifdefs.  Github-Pull: #35175 Rebased-From: 0bc9d354dfd8074d1c36a891a69b6585a8775c65",1
src/validation.cpp,C++,155,2,68,1741,4198,1565,415,822,144,152,96,682,8,199,55,0,213,22,20,42,1,0,bitcoin,https://github.com/bitcoin/bitcoin,076629a3c19ceb779ddc251183c09807327efd3d,b110304705e1e1f97c88c4bb1455ab03c909450a,validation: correct lifetime of precomputed tx data  This makes sure `txsdata` always outlives the Script check queue (since local objects are destructed in reverse order of construction).  This is the root cause for a security vulnerability reported by Cory Fields in 2024 that could be exploited by crafting an invalid block to cause nodes to read freed memory. The vulnerability was covertly fixed in commit `492e1f09943fcb6145c21d470299305a19e17d8b`.  See security advisory for CVE-2024-52911 for more details.  Github-Pull: #35209 Rebased-From: 1ed799fb21db51a12cbd5579420a61b9b5b3ee7d,1
src/validation.cpp,C++,158,2,69,1769,4252,1603,411,834,144,152,98,693,8,199,65,0,112,11,33,44,22,1,bitcoin,https://github.com/bitcoin/bitcoin,9ad085bd8397287e8876673d6b8613add9cf73a1,8d6ebc80ce1cf11a163d0ce1edc8e6d8356225b3,validation: correct lifetime of precomputed tx data  This makes sure `txsdata` always outlives the Script check queue (since local objects are destructed in reverse order of construction).  This is the root cause for a security vulnerability reported by Cory Fields in 2024 that could be exploited by crafting an invalid block to cause nodes to read freed memory. The vulnerability was covertly fixed in commit `492e1f09943fcb6145c21d470299305a19e17d8b`.  See security advisory for CVE-2024-52911 for more details.  Github-Pull: #35209 Rebased-From: 1ed799fb21db51a12cbd5579420a61b9b5b3ee7d,1
src/validation.cpp,C++,154,1,69,1715,4174,1533,394,833,149,155,96,694,8,199,54,16,59,24,23,47,6,3,bitcoin,https://github.com/bitcoin/bitcoin,0cedd6abf22866103ea852edb871d463f7ba1222,6574cb40869b96b9ffc79c19dc8f4e467d60f321,validation: correct lifetime of precomputed tx data  This makes sure `txsdata` always outlives the Script check queue (since local objects are destructed in reverse order of construction).  This is the root cause for a security vulnerability reported by Cory Fields in 2024 that could be exploited by crafting an invalid block to cause nodes to read freed memory. The vulnerability was covertly fixed in commit `492e1f09943fcb6145c21d470299305a19e17d8b`.  See security advisory for CVE-2024-52911 for more details.  Github-Pull: #35209 Rebased-From: 1ed799fb21db51a12cbd5579420a61b9b5b3ee7d,1
src/validation.cpp,C++,149,1,69,1739,4206,1583,405,835,146,152,94,690,8,199,52,0,214,22,20,42,1,3,bitcoin,https://github.com/bitcoin/bitcoin,17de6d2680db4cae63401d6d2964e5d8294f6ed6,c5bf64408c92b308daa4c4847c38105a4a4bd40c,validation: correct lifetime of precomputed tx data  This makes sure `txsdata` always outlives the Script check queue (since local objects are destructed in reverse order of construction).  This is the root cause for a security vulnerability reported by Cory Fields in 2024 that could be exploited by crafting an invalid block to cause nodes to read freed memory. The vulnerability was covertly fixed in commit `492e1f09943fcb6145c21d470299305a19e17d8b`.  See security advisory for CVE-2024-52911 for more details.  Github-Pull: #35209 Rebased-From: 1ed799fb21db51a12cbd5579420a61b9b5b3ee7d,1
src/validation.cpp,C++,157,1,70,1714,4161,1535,393,831,148,152,96,693,8,199,54,44,12,23,23,46,16,2,bitcoin,https://github.com/bitcoin/bitcoin,1ed799fb21db51a12cbd5579420a61b9b5b3ee7d,c89c8ddbb3657c6b53991c16faaf00e923cbc852,validation: correct lifetime of precomputed tx data  This makes sure `txsdata` always outlives the Script check queue (since local objects are destructed in reverse order of construction).  This is the root cause for a security vulnerability reported by Cory Fields in 2024 that could be exploited by crafting an invalid block to cause nodes to read freed memory. The vulnerability was covertly fixed in commit `492e1f09943fcb6145c21d470299305a19e17d8b`.  See security advisory for CVE-2024-52911 for more details.,1
src/node/miner.h,C++,0,1,14,13,156,89,10,12,8,11,0,8,4,45,4,0,155,5,1,6,6,1,bitcoin,https://github.com/bitcoin/bitcoin,9632450ff65c1fee29c2564a6ad64dfaad4d663c,561d072e0590179f1c60bb2784077589812a05bb,"multi_index: fix compilation failure with boost >= 1.91  This effectively reverts a3cb309e7c31853f272bffaa65fb6ab0a7cc4083 from PR #30194.  That PR reduced the multi_index type signatures as recommended upstream, but this is no longer supported as of boost 1.91 because it is no longer necessary. 1.91 drops support for the pre-c++11 work-arounds that bloated the type signatures to begin with.  The upstream `BOOST_MULTI_INDEX_ENABLE_MPL_SUPPORT` define is meant to provide compatibility with removed features, but it does not work for this case. Using `indexed_by` directly when defining the `multi_index` (as opposed to inheriting from it) works with all versions, and avoids the use of the back-compat define.  This is a slight regression when building against boost < 1.91 because the bloated type signatures are reintroduced in that case, but it's not significant enough to go to the trouble of introducing version detection and ifdefs.  Github-Pull: #35175 Rebased-From: 0bc9d354dfd8074d1c36a891a69b6585a8775c65",1
