feature,importance
nosi,2.2333370467249614
dit,0.6313270179398542
cbo,0.6223200108591215
rfc,0.5198620529383474
loc,0.4273360695894625
comparisonsQty,0.2847902083278028
returnQty,0.2668343419650896
wmc,0.2634868386214846
lcom,0.2256485833419264
totalMethods,0.18334523328297395
maxNestedBlocks,0.1475660766681188
mathOperationsQty,0.11464167252461797
variablesQty,0.0996347289679683
stringLiteralsQty,0.07580803960263165
totalFields,0.06925588577477024
parenthesizedExpsQty,0.05803943061913128
loopQty,0.05028767891808576
numbersQty,0.03878733388946081
uniqueWordsQty,0.03283971232549497
tryCatchQty,0.025904820274162417
assignmentsQty,0.0030929195757860234
