feature,importance
file_bug_fix_count,0.108994916
file_change_count,0.09222255
totalMethods,0.059174735
recent_file_change_count,0.055362303
dit,0.053328887
cbo,0.052942045
returnQty,0.052088104
nosi,0.047010258
days_since_last_change,0.046876837
last_change_file_count,0.046593044
wmc,0.045543294
lcom,0.044832848
loc,0.044570733
rfc,0.044147618
author_file_change_count,0.04372979
comparisonsQty,0.043015845
last_change_churn,0.04136684
last_change_lines_deleted,0.04067091
last_change_lines_added,0.03752837
